device_id,brand,os,usage_type,battery_capacity_wh,cpu_tdp_w,ram_gb,screen_size_inch,refresh_rate_hz,brightness_percent,cpu_usage_percent,gpu_usage_percent,wifi_on,bluetooth_on,temperature_c,battery_age_months,battery_health_percent,battery_life_hours
LAP01026,HP,Windows,Office,49.6,8.0,8,15.4,90,96,63,84,1,1,42.8,53,80.2,2.89
LAP01027,MSI,Windows,Browsing,57.9,28.5,8,15.0,60,35,40,25,1,1,37.0,58,86.6,3.4
LAP01028,MSI,Windows,Office,51.5,43.3,8,14.9,60,33,72,94,1,1,49.2,22,90.6,1.93
LAP01029,MSI,Windows,Coding,56.0,46.6,16,16.0,60,28,30,62,0,0,40.9,47,89.2,2.66
LAP01030,Lenovo,Windows,Browsing,37.8,11.0,4,13.7,75,92,31,19,1,1,39.3,2,97.1,4.08
LAP01031,Apple,macOS,Gaming,54.4,23.7,8,16.8,60,88,81,21,1,0,40.3,2,98.4,2.32
LAP01032,ASUS,Windows,Browsing,57.0,39.0,8,11.6,75,80,66,56,1,0,39.6,60,80.3,2.45
LAP01033,ASUS,Windows,Browsing,79.2,9.3,16,14.9,144,30,66,56,1,1,40.6,38,92.2,5.49
LAP01034,HP,Linux,Coding,51.0,39.4,8,16.9,240,38,56,25,1,1,40.7,41,86.8,1.48
LAP01035,Lenovo,macOS,Video,45.2,39.6,32,16.7,144,83,48,16,1,1,41.2,56,87.0,1.37
LAP01036,Lenovo,Windows,Browsing,65.7,8.0,8,15.2,60,57,37,88,1,1,42.8,15,96.5,6.46
LAP01037,Lenovo,Linux,Office,30.0,8.0,8,13.9,60,29,94,100,1,1,47.8,12,98.7,2.55
LAP01038,Acer,macOS,Gaming,50.2,20.2,8,14.8,60,35,88,26,1,0,38.5,18,97.8,2.14
LAP01039,Dell,macOS,Office,47.3,36.3,8,17.3,60,88,67,66,1,1,42.6,27,92.2,2.11
LAP01040,Acer,macOS,Office,58.9,8.0,16,16.0,120,61,76,55,1,0,45.6,37,87.7,3.9
LAP01041,Dell,Windows,Video,73.7,8.0,16,12.6,60,63,84,23,0,0,38.1,52,85.2,5.22
LAP01042,Lenovo,Windows,Browsing,78.3,25.8,8,15.1,60,72,73,24,1,1,46.7,55,84.6,4.6
LAP01043,Lenovo,Windows,Office,58.7,32.6,4,14.2,60,54,38,9,1,1,34.7,8,98.3,4.02
LAP01044,Acer,Windows,Office,31.7,16.8,8,13.2,90,55,31,35,1,1,39.5,55,82.2,2.13
LAP01045,Acer,Windows,Office,47.3,17.8,32,15.7,144,41,40,81,1,1,38.1,45,89.4,2.4
LAP01046,Dell,Windows,Office,48.9,32.5,32,13.6,165,43,8,44,0,1,33.1,16,93.3,2.87
LAP01047,ASUS,Windows,Browsing,60.5,14.6,16,17.2,165,95,57,16,1,0,42.1,6,98.4,3.74
LAP01048,Dell,Windows,Office,55.8,15.5,16,16.9,60,31,75,77,1,0,41.6,7,90.1,3.67
LAP01049,Acer,Windows,Browsing,44.7,28.3,32,14.0,144,54,41,57,1,1,41.1,36,89.6,2.3
LAP01050,Apple,Linux,Video,36.2,29.7,16,13.9,90,69,92,82,1,0,45.0,51,86.0,1.17
LAP01051,Acer,Windows,Office,42.0,22.3,32,15.9,120,97,83,81,1,1,43.7,54,89.4,1.66
LAP01052,Apple,Windows,Office,41.4,42.8,16,16.4,144,59,54,22,1,1,38.0,11,93.7,1.59
LAP01053,HP,Windows,Gaming,79.3,34.0,8,14.6,60,41,74,7,1,0,37.5,53,87.5,2.55
LAP01054,Acer,Windows,Coding,43.5,20.8,16,16.4,165,66,30,49,1,1,38.4,27,92.4,2.35
LAP01055,HP,macOS,Browsing,55.9,9.5,16,17.3,90,94,94,15,1,1,41.8,1,100.0,4.17
LAP01056,ASUS,Windows,Gaming,69.5,36.9,16,15.5,60,85,29,88,1,1,38.3,47,85.4,2.59
LAP01057,Dell,Windows,Browsing,57.9,37.3,8,13.6,60,29,37,42,0,1,37.2,27,93.1,3.99
LAP01058,Apple,Windows,Browsing,38.7,23.8,16,16.1,144,62,71,95,0,1,50.7,24,96.4,2.08
LAP01059,Dell,Windows,Video,69.8,28.3,8,15.2,120,88,77,82,0,1,43.0,26,95.1,2.54
LAP01060,HP,Windows,Coding,60.3,33.4,8,14.5,120,44,41,81,1,1,38.2,34,93.2,2.68
LAP01061,Apple,Windows,Office,30.0,44.2,16,16.1,60,66,42,95,1,1,39.7,14,95.6,1.37
LAP01062,Dell,Windows,Browsing,73.7,35.6,16,16.7,60,26,98,45,1,1,42.5,48,83.3,3.15
LAP01063,Acer,Linux,Coding,68.1,30.3,16,15.3,120,47,31,48,1,0,34.8,47,87.6,3.12
LAP01064,Lenovo,Windows,Office,60.1,36.2,32,11.8,60,99,17,14,1,0,29.2,59,82.0,3.99
LAP01065,HP,Windows,Gaming,79.5,38.8,16,15.2,60,64,27,48,1,1,39.7,34,88.2,2.89
LAP01066,Dell,Windows,Browsing,67.8,28.2,16,15.3,60,86,71,20,1,1,40.6,46,86.4,3.66
LAP01067,HP,Windows,Gaming,71.9,36.0,16,17.3,60,31,91,74,1,1,46.7,32,93.1,1.81
LAP01068,MSI,Windows,Coding,70.5,16.9,8,15.2,60,30,92,92,0,1,55.6,43,84.8,3.65
LAP01069,HP,Windows,Video,66.4,37.4,32,14.8,60,22,59,95,0,1,46.5,41,90.5,2.74
LAP01070,Apple,Linux,Video,30.0,17.0,8,16.0,165,80,41,5,1,1,46.0,22,93.0,1.38
LAP01071,MSI,Windows,Coding,30.0,12.9,16,14.6,120,85,16,54,1,1,40.1,26,92.7,1.88
LAP01072,Apple,Linux,Office,67.8,23.5,8,14.0,144,75,58,82,1,1,39.9,37,88.4,2.87
LAP01073,Lenovo,Windows,Browsing,73.5,8.9,8,12.8,60,45,24,79,1,1,35.2,59,82.5,6.65
LAP01074,MSI,macOS,Browsing,44.4,17.8,8,14.2,90,100,22,75,1,1,37.1,7,96.0,3.16
LAP01075,Acer,Windows,Gaming,38.3,29.5,16,12.3,75,53,11,14,1,1,31.4,51,85.5,1.82
LAP01076,HP,Linux,Video,58.9,28.3,8,15.4,60,74,94,10,1,1,45.9,37,88.2,2.17
LAP01077,Dell,Windows,Office,33.2,32.7,8,15.3,60,98,80,38,1,1,41.4,50,83.7,1.42
LAP01078,ASUS,Linux,Browsing,52.5,32.9,16,16.0,120,95,100,73,1,1,47.5,3,100.0,2.57
LAP01079,HP,Linux,Office,49.7,29.5,4,13.6,60,35,98,50,1,0,42.3,53,81.8,1.92
LAP01080,HP,Windows,Coding,51.6,14.8,8,13.0,60,99,6,36,1,1,35.6,47,87.3,4.35
LAP01081,Lenovo,Windows,Office,83.3,36.1,8,17.3,60,58,58,48,0,1,44.1,4,98.0,4.41
LAP01082,Acer,Linux,Video,45.5,23.7,16,14.9,144,25,12,56,1,1,38.2,15,95.4,2.36
LAP01083,ASUS,Windows,Gaming,55.8,27.9,16,16.0,144,91,37,87,1,1,41.8,60,84.2,1.68
LAP01084,MSI,Windows,Browsing,35.3,26.2,32,15.2,144,71,50,99,1,1,47.0,17,95.5,1.87
LAP01085,MSI,Linux,Office,69.1,43.9,8,16.0,60,44,46,64,1,1,42.2,56,84.0,2.89
LAP01086,MSI,Windows,Office,52.3,10.7,8,15.3,240,75,98,16,1,1,45.4,44,88.2,2.25
LAP01087,Apple,Windows,Office,72.7,20.9,4,13.9,144,38,67,62,1,1,40.7,44,84.9,3.09
LAP01088,Apple,Windows,Browsing,30.0,31.4,32,15.8,60,95,96,13,1,0,41.7,17,93.0,1.33
LAP01089,Dell,Linux,Browsing,54.1,25.3,16,15.4,144,92,81,37,1,1,44.5,7,99.3,2.89
LAP01090,ASUS,Windows,Gaming,57.0,19.2,16,12.6,75,46,92,24,1,0,41.6,28,87.2,2.19
LAP01091,MSI,Windows,Office,68.7,8.0,32,15.4,60,24,37,36,1,1,43.4,20,98.1,6.87
LAP01092,Apple,Windows,Office,45.4,21.6,8,14.5,60,45,73,98,1,1,47.9,38,92.0,2.48
LAP01093,Dell,Linux,Gaming,66.8,29.3,8,14.1,60,49,74,85,1,0,47.4,53,85.3,2.17
LAP01094,Acer,Windows,Video,47.1,31.5,16,16.4,90,97,8,55,0,0,38.5,26,92.0,2.66
LAP01095,Dell,Windows,Browsing,56.4,23.0,16,14.9,165,54,62,6,1,0,38.7,46,89.0,2.94
LAP01096,Apple,Windows,Coding,68.8,27.1,16,14.9,60,94,33,10,1,0,36.2,1,100.0,4.93
LAP01097,Lenovo,Linux,Office,41.1,11.3,16,15.1,75,72,25,73,1,1,37.1,3,100.0,3.81
LAP01098,Lenovo,macOS,Video,66.1,29.7,16,15.0,60,87,30,77,1,0,38.7,47,87.6,3.21
LAP01099,MSI,Windows,Video,60.0,25.1,32,14.9,90,52,100,34,1,1,44.7,11,100.0,2.55
LAP01100,Lenovo,Windows,Coding,50.0,27.0,16,17.0,165,89,90,35,1,1,40.3,15,96.7,1.89
LAP01101,MSI,Linux,Office,45.0,22.4,8,14.0,90,47,45,69,1,1,45.8,24,94.3,2.94
LAP01102,MSI,Windows,Video,30.0,27.6,16,12.6,75,93,82,51,1,1,40.5,22,96.7,1.25
LAP01103,Apple,Windows,Browsing,53.8,32.6,16,15.1,144,55,38,68,1,0,36.8,16,91.8,2.95
LAP01104,Lenovo,Linux,Browsing,50.0,28.1,16,13.7,60,68,48,41,1,0,39.1,60,81.7,3.1
LAP01105,MSI,macOS,Office,64.6,8.0,8,13.5,165,72,5,70,0,1,37.6,60,80.1,3.83
LAP01106,ASUS,Windows,Browsing,63.1,28.3,4,15.0,90,88,36,14,1,1,33.3,51,85.6,4.05
LAP01107,Acer,Windows,Browsing,71.1,20.3,8,15.4,120,21,36,20,1,0,34.4,41,87.3,4.58
LAP01108,Dell,Windows,Video,71.6,16.5,64,14.8,144,99,55,81,1,1,42.3,46,87.5,2.75
LAP01109,Dell,Windows,Gaming,100.0,41.2,8,14.4,120,90,28,0,1,0,33.5,50,86.4,3.61
LAP01110,Apple,Linux,Office,62.7,13.8,16,14.7,120,83,48,67,1,1,43.0,45,85.5,3.73
LAP01111,Lenovo,Linux,Office,42.1,15.2,16,14.9,120,40,89,10,1,0,39.2,0,100.0,2.97
LAP01112,Lenovo,Linux,Office,67.4,8.0,32,15.0,60,54,80,9,1,0,39.1,20,94.8,6.28
LAP01113,MSI,Windows,Office,79.1,42.3,16,12.5,60,65,88,44,1,1,45.2,56,79.8,2.34
LAP01114,HP,Windows,Browsing,62.1,35.7,32,16.2,165,67,41,55,1,1,42.9,35,90.4,2.81
LAP01115,MSI,Windows,Gaming,30.0,21.0,16,13.0,60,41,88,18,1,1,44.7,1,99.3,1.33
LAP01116,Acer,Windows,Browsing,63.3,32.4,32,14.1,90,25,70,41,1,0,42.8,22,91.3,3.34
LAP01117,ASUS,Linux,Office,45.6,8.0,8,12.8,60,52,18,93,1,1,33.4,59,80.6,3.85
LAP01118,Dell,Windows,Browsing,35.2,30.7,16,15.2,60,58,21,40,1,1,33.1,39,86.6,2.46
LAP01119,MSI,Windows,Gaming,57.8,14.7,32,14.0,120,62,92,19,1,1,40.2,58,86.5,2.21
LAP01120,HP,Windows,Video,32.1,45.1,8,14.7,120,44,98,26,1,1,46.9,1,100.0,1.0
LAP01121,HP,macOS,Gaming,70.3,29.4,32,14.0,60,37,19,11,1,1,30.0,42,83.9,3.48
LAP01122,MSI,Linux,Video,66.0,26.6,8,13.5,165,60,65,77,1,1,39.4,58,84.3,2.14
LAP01123,Apple,Linux,Office,53.7,15.2,8,11.6,144,54,53,97,1,1,45.3,9,96.1,3.12
LAP01124,Dell,Windows,Browsing,46.7,15.2,8,14.2,60,43,12,63,1,1,38.0,42,86.2,4.24
LAP01125,Apple,Windows,Coding,52.2,32.1,16,13.3,75,74,7,37,1,0,31.5,8,93.6,3.52
LAP01126,ASUS,Windows,Office,39.8,15.0,8,15.7,144,59,79,65,1,0,43.4,28,94.4,2.1
LAP01127,HP,Windows,Coding,53.8,14.6,4,17.3,60,48,31,57,1,0,43.1,25,92.4,4.32
LAP01128,HP,Windows,Browsing,30.0,41.9,32,17.3,90,29,13,95,0,0,35.0,55,84.7,1.8
LAP01129,Acer,Windows,Browsing,56.3,28.5,32,14.9,60,98,19,81,0,1,35.6,35,83.5,3.85
LAP01130,ASUS,Windows,Coding,56.7,11.8,4,13.9,60,29,36,84,1,1,42.9,59,84.9,3.38
LAP01131,HP,Windows,Coding,67.7,31.6,16,12.3,165,83,15,10,1,1,32.9,28,94.5,3.44
LAP01132,ASUS,Windows,Video,59.5,21.7,16,14.4,144,48,7,29,1,0,33.0,3,94.2,3.38
LAP01133,Dell,Windows,Browsing,69.7,8.0,8,13.7,60,37,30,63,1,1,34.0,20,87.7,6.74
LAP01134,Lenovo,Windows,Coding,63.2,19.0,16,14.0,144,21,11,82,1,1,35.0,32,88.1,3.8
LAP01135,HP,Windows,Browsing,70.5,12.4,16,12.7,60,44,96,47,1,1,44.3,30,95.5,5.73
LAP01136,Acer,Windows,Browsing,94.3,28.1,16,16.0,75,70,59,39,1,1,45.9,54,87.3,5.63
LAP01137,Dell,Windows,Office,61.3,17.1,16,15.7,120,41,43,93,1,1,41.0,27,94.6,3.63
LAP01138,MSI,Linux,Browsing,57.8,26.1,16,13.7,90,28,8,98,1,1,34.4,35,85.1,4.14
LAP01139,ASUS,Linux,Browsing,72.8,33.0,8,16.2,144,93,34,67,1,0,38.1,32,91.2,3.7
LAP01140,MSI,Windows,Office,48.0,53.3,16,15.1,120,23,42,20,1,0,34.5,3,98.4,2.08
LAP01141,Apple,Windows,Office,53.2,48.8,16,15.7,60,40,55,4,1,1,38.6,3,100.0,2.72
LAP01142,Dell,Windows,Browsing,61.3,27.7,16,16.1,165,49,82,35,1,1,34.8,32,94.4,2.4
LAP01143,MSI,Windows,Browsing,56.1,24.4,16,15.5,60,52,40,90,1,1,40.0,13,98.2,3.59
LAP01144,HP,Linux,Browsing,56.0,17.9,16,13.9,75,62,99,6,1,1,46.6,47,81.9,3.17
LAP01145,ASUS,Windows,Browsing,68.5,8.0,8,16.5,120,21,87,59,1,1,47.0,8,97.9,5.33
LAP01146,Lenovo,Windows,Coding,30.0,8.0,16,16.1,144,50,64,55,1,1,42.3,23,98.2,1.87
LAP01147,Dell,Windows,Office,85.5,14.9,16,16.1,90,23,55,30,1,0,37.3,24,91.6,6.24
LAP01148,HP,Windows,Office,62.3,44.6,16,13.1,144,66,80,83,1,1,48.3,6,98.5,2.08
LAP01149,Acer,Windows,Office,49.0,44.2,16,12.9,60,64,53,24,1,1,40.2,45,87.5,2.25
LAP01150,Apple,Windows,Coding,79.4,25.9,8,17.1,60,84,19,55,1,1,33.3,27,93.0,5.2
LAP01151,ASUS,Windows,Gaming,56.6,30.6,16,14.1,240,85,77,88,1,0,49.6,4,100.0,1.46
LAP01152,Dell,Windows,Video,56.9,17.7,8,15.4,120,25,95,80,1,1,54.5,45,89.1,2.34
LAP01153,Dell,macOS,Video,51.8,24.6,4,16.7,60,26,88,100,1,1,47.4,12,91.2,2.03
LAP01154,Lenovo,Linux,Office,77.0,15.7,16,17.3,144,70,32,78,1,0,37.0,54,82.7,3.74
LAP01155,Lenovo,Windows,Coding,54.9,15.7,8,15.8,120,87,29,73,1,1,41.7,1,98.0,3.33
LAP01156,Acer,Windows,Coding,46.6,32.4,8,14.3,120,37,84,33,1,1,45.5,57,84.5,1.58
LAP01157,Apple,Windows,Browsing,70.0,17.7,8,14.6,120,60,86,43,0,0,43.0,54,84.6,4.08
LAP01158,Acer,Windows,Browsing,72.7,30.9,16,15.5,144,88,40,6,1,1,31.7,19,90.5,4.27
LAP01159,HP,Windows,Office,79.1,23.2,8,15.2,75,44,8,50,1,1,36.3,11,96.6,5.48
LAP01160,HP,Windows,Gaming,64.5,42.0,16,14.0,60,75,25,24,1,0,28.0,52,84.7,2.23
LAP01161,Acer,Linux,Coding,72.2,31.6,16,11.6,165,20,95,27,1,0,44.0,26,91.3,2.36
LAP01162,Apple,Windows,Video,51.1,27.9,16,14.0,75,74,69,41,1,1,32.0,6,100.0,2.23
LAP01163,Acer,Windows,Office,70.4,8.0,8,14.7,60,22,73,26,1,1,39.6,33,91.1,6.26
LAP01164,Apple,Windows,Office,66.1,19.1,16,15.0,75,73,14,36,1,1,38.2,20,97.5,4.98
LAP01165,Apple,Windows,Browsing,63.0,24.4,4,17.3,60,100,54,54,0,0,47.3,59,90.4,3.96
LAP01166,MSI,Windows,Browsing,31.6,25.7,8,16.5,120,51,89,37,1,1,46.8,17,99.0,1.56
LAP01167,ASUS,Linux,Video,49.2,33.0,8,14.4,60,21,14,55,1,1,36.6,9,97.6,3.48
LAP01168,Apple,macOS,Coding,54.3,27.5,8,15.7,60,84,94,91,1,1,50.0,37,86.3,2.17
LAP01169,Lenovo,Windows,Office,63.0,12.6,32,11.6,165,27,20,33,1,1,35.7,57,83.2,4.1
LAP01170,Apple,Windows,Video,91.0,32.1,16,16.7,144,77,42,28,1,1,34.2,55,83.4,3.01
LAP01171,Apple,macOS,Browsing,67.9,19.5,8,14.3,60,72,71,47,1,1,43.5,38,86.8,4.08
LAP01172,Apple,Windows,Gaming,42.8,17.2,64,15.3,60,63,24,71,1,1,37.5,43,83.3,1.8
LAP01173,MSI,Linux,Office,47.8,11.8,8,15.0,144,92,73,76,1,1,47.2,20,92.5,2.59
LAP01174,MSI,Windows,Office,75.8,20.8,16,16.4,165,47,74,45,1,1,45.9,15,97.7,3.41
LAP01175,HP,Windows,Office,47.1,18.3,32,14.5,75,38,29,36,1,1,35.0,50,86.1,3.36
LAP01176,MSI,Windows,Browsing,70.3,38.9,16,16.2,90,75,93,2,1,1,41.1,19,91.2,2.55
LAP01177,Lenovo,Windows,Browsing,56.8,21.8,8,15.5,60,39,58,77,1,1,43.9,49,84.5,3.34
LAP01178,Lenovo,Linux,Coding,52.5,31.4,16,15.2,90,90,16,95,1,1,40.2,53,87.1,2.58
LAP01179,MSI,Windows,Gaming,47.4,8.0,8,14.8,60,75,69,86,0,1,51.8,45,86.6,2.6
LAP01180,Acer,Windows,Video,30.0,33.9,8,14.3,144,54,58,86,1,0,43.0,46,83.7,1.0
LAP01181,ASUS,Windows,Browsing,63.1,32.7,16,14.8,60,38,71,76,1,1,39.0,39,86.5,2.82
LAP01182,MSI,Linux,Coding,39.2,8.0,16,14.5,120,100,25,49,1,0,36.3,23,91.7,2.77
LAP01183,Apple,Windows,Browsing,33.7,14.5,8,15.6,60,82,9,20,1,1,38.4,46,89.7,3.22
LAP01184,Dell,Linux,Browsing,58.7,17.0,8,13.4,60,26,62,47,1,0,42.4,56,86.8,4.71
LAP01185,ASUS,Windows,Coding,70.4,22.6,8,15.1,60,46,83,57,1,1,44.8,20,94.1,3.47
LAP01186,ASUS,Windows,Coding,30.0,16.5,8,17.1,60,58,8,30,1,1,29.7,43,83.3,1.98
LAP01187,Lenovo,Windows,Browsing,70.1,22.1,4,14.4,60,49,23,6,1,0,32.8,57,82.6,5.89
LAP01188,ASUS,Windows,Browsing,41.5,32.8,32,15.6,240,42,85,56,1,0,49.3,30,91.6,1.53
LAP01189,MSI,Windows,Gaming,64.7,18.3,8,11.7,144,42,59,35,1,1,43.2,58,85.4,2.55
LAP01190,Apple,Windows,Browsing,63.7,28.6,8,12.8,120,66,65,82,1,1,48.7,53,83.2,2.91
LAP01191,Apple,Windows,Office,51.9,27.1,16,14.8,144,97,76,85,1,0,42.2,49,83.3,2.09
LAP01192,HP,Windows,Coding,55.4,8.0,16,14.9,60,67,28,23,1,0,37.4,9,98.3,5.73
LAP01193,Apple,Windows,Browsing,49.1,15.3,16,15.1,144,82,72,23,1,0,34.3,19,95.2,3.14
LAP01194,Apple,Windows,Browsing,59.0,36.8,16,17.3,240,28,92,55,1,1,45.2,13,97.6,2.09
LAP01195,Lenovo,Windows,Office,58.8,14.3,4,14.2,60,42,23,84,1,1,40.4,18,97.7,5.63
LAP01196,Apple,Windows,Video,41.1,12.2,16,15.1,240,82,28,60,1,1,41.7,29,95.9,1.93
LAP01197,HP,macOS,Coding,34.6,37.4,16,14.0,60,93,58,76,1,1,45.8,56,82.4,1.15
LAP01198,Dell,Windows,Coding,70.1,26.8,16,16.0,60,66,25,69,1,1,42.3,15,99.1,4.16
LAP01199,MSI,Windows,Gaming,58.1,42.5,32,13.4,60,93,85,27,1,1,46.6,21,91.8,1.61
LAP01200,Lenovo,Windows,Video,68.0,19.4,16,14.0,240,85,76,31,1,0,41.4,53,90.8,2.18
LAP01201,Dell,Windows,Office,44.9,39.4,16,13.7,120,56,99,76,1,0,44.0,19,93.0,1.37
LAP01202,Lenovo,Windows,Office,42.6,14.3,8,16.2,120,57,23,97,1,1,42.2,5,99.7,2.78
LAP01203,Acer,Windows,Coding,39.8,8.0,16,15.2,60,20,79,95,1,1,49.6,44,86.9,2.69
LAP01204,ASUS,Windows,Coding,52.3,33.1,32,15.4,60,67,57,77,1,1,41.4,42,88.9,2.18
LAP01205,Acer,Windows,Coding,58.5,31.9,16,14.7,144,54,54,95,1,0,44.3,32,92.2,2.17
LAP01206,Apple,macOS,Coding,46.8,33.1,8,16.7,60,90,27,44,1,1,38.8,40,91.6,2.39
LAP01207,Dell,macOS,Browsing,78.5,22.5,16,14.8,60,72,41,68,1,1,45.0,18,95.1,5.57
LAP01208,Apple,Windows,Office,45.4,42.6,4,17.3,60,44,32,98,1,1,37.5,4,95.1,2.17
LAP01209,ASUS,Windows,Office,58.7,35.4,16,16.8,60,61,91,67,1,1,50.0,6,96.5,2.7
LAP01210,Lenovo,Linux,Browsing,41.8,34.9,32,12.9,90,42,80,77,1,1,45.6,33,93.7,1.97
LAP01211,ASUS,macOS,Browsing,44.9,26.5,8,15.9,144,28,84,17,1,1,40.9,19,95.5,2.38
LAP01212,HP,Windows,Coding,53.7,8.8,8,16.8,75,46,84,74,1,1,49.8,14,97.1,3.47
LAP01213,ASUS,Windows,Coding,42.5,25.8,8,14.4,60,94,82,82,1,1,44.8,60,81.9,1.59
LAP01214,HP,macOS,Office,56.3,29.3,32,15.6,60,70,75,1,1,1,40.7,37,93.5,2.78
LAP01215,ASUS,Windows,Office,61.6,49.4,16,12.9,60,76,25,97,1,1,38.7,0,97.4,2.68
LAP01216,MSI,Windows,Office,71.4,28.2,16,13.6,144,55,25,2,1,1,32.5,53,78.2,3.31
LAP01217,HP,Windows,Browsing,38.8,12.4,16,14.6,60,53,45,28,1,1,42.1,4,98.5,3.51
LAP01218,Dell,macOS,Coding,57.5,30.6,8,13.1,60,32,39,86,1,1,42.8,33,91.3,2.58
LAP01219,Apple,Linux,Video,54.1,40.1,16,15.1,60,74,92,47,1,0,48.6,53,82.5,1.35
LAP01220,Apple,Linux,Video,30.0,45.5,16,15.9,75,65,5,64,1,1,29.6,20,97.1,1.69
LAP01221,Acer,Linux,Coding,38.1,23.7,64,13.7,120,71,82,41,1,1,47.1,60,80.1,1.41
LAP01222,Apple,Windows,Coding,62.1,22.6,4,13.1,60,47,88,5,1,0,37.9,13,98.7,3.78
LAP01223,Lenovo,Linux,Browsing,34.7,8.1,4,12.8,90,49,96,58,1,0,44.3,16,88.8,2.91
LAP01224,MSI,Windows,Office,53.9,17.8,8,16.7,60,64,86,80,1,1,45.3,60,88.0,3.01
LAP01225,ASUS,macOS,Browsing,30.0,30.2,16,12.6,120,57,71,18,1,1,41.1,11,98.6,1.59
LAP01226,Acer,Windows,Gaming,53.5,8.0,8,15.4,144,39,95,51,0,1,46.7,26,91.7,2.47
LAP01227,Lenovo,Linux,Browsing,30.0,49.6,64,16.8,60,89,74,60,1,1,45.5,5,96.8,1.26
LAP01228,Lenovo,Windows,Browsing,45.9,20.7,8,13.6,165,66,8,1,1,1,32.2,38,90.6,3.29
LAP01229,HP,Windows,Gaming,48.4,26.4,4,13.8,120,78,5,78,1,1,38.0,47,83.7,1.99
LAP01230,Apple,Windows,Gaming,56.8,29.1,8,15.2,60,98,25,22,1,1,33.8,24,95.9,2.81
LAP01231,Dell,Windows,Video,51.2,38.5,32,15.3,144,98,96,18,1,1,43.6,26,95.5,1.36
LAP01232,Dell,Linux,Browsing,36.5,28.2,8,14.3,75,33,86,96,1,1,49.3,44,91.0,1.68
LAP01233,Acer,Windows,Browsing,36.7,12.2,16,14.6,165,61,56,69,1,0,38.0,1,99.2,2.36
LAP01234,MSI,Windows,Office,30.8,30.1,8,15.1,60,80,57,49,1,1,42.4,21,94.5,1.65
LAP01235,Dell,Windows,Browsing,58.1,38.5,16,14.4,90,78,89,60,1,1,46.1,31,94.4,2.44
LAP01236,ASUS,macOS,Browsing,57.4,14.3,4,14.5,165,27,84,18,1,1,44.7,53,84.7,3.09
LAP01237,Dell,Windows,Office,65.0,34.6,16,17.3,60,76,60,93,1,1,49.2,16,98.4,3.09
LAP01238,Acer,Linux,Gaming,47.5,28.1,8,16.4,75,41,94,21,1,1,47.7,60,82.5,1.38
LAP01239,Dell,Linux,Office,30.0,26.1,32,16.5,144,40,77,2,1,1,29.8,55,82.3,1.24
LAP01240,ASUS,Linux,Coding,50.3,17.3,32,14.5,120,47,91,4,1,1,38.6,36,92.6,2.75
LAP01241,HP,Windows,Coding,55.2,22.3,8,12.6,144,68,70,93,1,1,42.8,1,100.0,2.73
LAP01242,MSI,Linux,Office,37.5,30.3,64,17.3,75,42,71,66,1,0,43.9,52,81.6,1.45
LAP01243,Acer,Windows,Coding,39.0,19.9,4,14.1,60,73,37,59,1,1,37.2,51,86.9,2.54
LAP01244,HP,Linux,Browsing,61.8,13.2,16,15.4,90,42,92,38,1,1,47.0,54,86.2,3.95
LAP01245,HP,Linux,Browsing,56.5,12.8,16,16.1,60,87,27,27,1,1,33.4,25,87.2,5.4
LAP01246,HP,Windows,Video,72.0,28.4,16,14.2,60,65,10,0,1,0,31.8,55,82.0,4.48
LAP01247,Lenovo,Windows,Browsing,80.8,30.9,8,16.3,90,87,89,21,1,1,40.0,32,92.0,3.66
LAP01248,MSI,Windows,Gaming,32.5,24.2,16,15.0,60,47,51,44,1,0,40.0,0,98.4,1.36
LAP01249,Apple,Windows,Browsing,48.7,46.8,8,14.6,60,69,62,50,1,1,33.7,39,95.1,2.21
LAP01250,MSI,Windows,Coding,56.9,8.0,16,14.2,60,82,9,80,1,1,35.5,42,89.9,4.06
LAP01251,Lenovo,Linux,Office,60.5,29.6,8,13.6,120,29,81,50,1,1,38.5,43,88.7,2.67
LAP01252,Apple,Windows,Browsing,70.2,8.0,16,12.4,60,56,81,27,1,1,45.2,35,91.5,7.57
LAP01253,MSI,Windows,Browsing,65.9,23.8,16,17.3,75,32,87,29,1,0,43.1,55,86.5,3.42
LAP01254,HP,macOS,Coding,72.1,28.0,16,17.0,60,89,13,7,1,1,31.8,38,87.9,4.71
LAP01255,Acer,Linux,Video,55.9,22.9,16,15.1,60,49,7,90,1,1,36.9,24,94.1,3.4
LAP01256,Apple,Windows,Video,45.6,8.0,8,17.2,60,99,65,40,1,0,40.4,12,97.0,3.09
LAP01257,ASUS,Linux,Office,84.2,23.9,4,17.0,60,91,99,24,0,1,47.0,38,90.3,4.36
LAP01258,ASUS,Windows,Video,57.3,25.0,8,15.8,120,99,68,58,1,1,42.8,35,91.4,2.11
LAP01259,Dell,Windows,Coding,51.4,35.8,32,14.5,60,30,50,76,1,1,40.9,11,95.3,2.64
LAP01260,Apple,Windows,Video,38.9,8.0,16,16.5,75,20,60,33,1,1,34.6,20,92.8,2.65
LAP01261,Acer,Windows,Office,57.4,42.3,16,16.3,75,37,43,38,1,1,36.6,22,91.9,2.88
LAP01262,Lenovo,Windows,Coding,70.1,8.0,32,16.1,60,30,17,70,1,0,37.3,17,95.2,6.35
LAP01263,HP,macOS,Video,47.5,9.4,32,14.5,60,29,45,85,1,1,43.3,12,96.6,3.55
